2026-04-08 00:03:07,731 | INFO | src.data.wrds_loader | Loading cached compustat_quarterly_1957_2016...
2026-04-08 00:03:08,259 | INFO | src.data.wrds_loader | Loading cached ccm_link...
2026-04-08 00:03:08,283 | INFO | __main__ | === Step 2: Merging CRSP + Compustat ===
2026-04-08 00:03:19,333 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-08 00:03:19,334 | INFO | src.data.wrds_loader | Loading cached crsp_monthly_1957_2016...
2026-04-08 00:03:19,596 | INFO | src.data.wrds_loader | Loading cached compustat_annual_1957_2016...
2026-04-08 00:03:25,136 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-08 00:03:25,137 | INFO | src.data.wrds_loader | Loading cached crsp_monthly_1957_2016...
2026-04-08 00:03:25,364 | INFO | src.data.wrds_loader | Loading cached compustat_annual_1957_2016...
2026-04-08 00:03:31,199 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-08 00:03:31,199 | INFO | src.data.wrds_loader | Loading cached crsp_monthly_1957_2016...
2026-04-08 00:03:31,442 | INFO | src.data.wrds_loader | Loading cached compustat_annual_1957_2016...
2026-04-08 00:03:31,645 | INFO | src.data.wrds_loader | Loading cached compustat_quarterly_1957_2016...
2026-04-08 00:03:32,005 | INFO | src.data.wrds_loader | Loading cached ccm_link...
2026-04-08 00:03:32,026 | INFO | __main__ | === Step 2: Merging CRSP + Compustat ===
2026-04-08 00:03:40,096 | INFO | __main__ | === Step 3: Building characteristics ===
2026-04-08 00:27:02,845 | INFO | __main__ | === Step 4: Building feature matrix ===
2026-04-08 00:28:12,203 | INFO | __main__ | === Step 5: Initialising models ===
2026-04-08 00:28:12,209 | INFO | __main__ | Models: ['OLS-3', 'ENet+H', 'PCR', 'PLS', 'GLM+H']
2026-04-08 00:28:12,209 | INFO | __main__ | === Step 6: Running recursive backtest ===
2026-04-08 00:28:12,551 | INFO | src.backtest.engine | Test year 1987: train=69,200  val=2,400  test=2,400
2026-04-08 00:28:20,077 | INFO | src.backtest.engine | Test year 1988: train=71,600  val=2,400  test=2,400
2026-04-08 00:28:27,399 | INFO | src.backtest.engine | Test year 1989: train=74,000  val=2,400  test=2,400
2026-04-08 00:28:36,131 | INFO | src.backtest.engine | Test year 1990: train=76,400  val=2,400  test=2,400
2026-04-08 00:28:43,536 | INFO | src.backtest.engine | Test year 1991: train=78,800  val=2,400  test=2,400
2026-04-08 00:28:51,376 | INFO | src.backtest.engine | Test year 1992: train=81,200  val=2,400  test=2,400
2026-04-08 00:28:59,140 | INFO | src.backtest.engine | Test year 1993: train=83,600  val=2,400  test=2,400
2026-04-08 00:29:07,575 | INFO | src.backtest.engine | Test year 1994: train=86,000  val=2,400  test=2,400
2026-04-08 00:29:17,181 | INFO | src.backtest.engine | Test year 1995: train=88,400  val=2,400  test=2,400
2026-04-08 00:29:25,644 | INFO | src.backtest.engine | Test year 1996: train=90,800  val=2,400  test=2,400
2026-04-08 00:29:35,389 | INFO | src.backtest.engine | Test year 1997: train=93,200  val=2,400  test=2,400
2026-04-08 00:29:45,377 | INFO | src.backtest.engine | Test year 1998: train=95,600  val=2,400  test=2,400
2026-04-08 00:29:55,125 | INFO | src.backtest.engine | Test year 1999: train=98,000  val=2,400  test=2,400
2026-04-08 00:30:03,975 | INFO | src.backtest.engine | Test year 2000: train=100,400  val=2,400  test=2,400
2026-04-08 00:30:15,158 | INFO | src.backtest.engine | Test year 2001: train=102,800  val=2,400  test=2,400
2026-04-08 00:30:26,135 | INFO | src.backtest.engine | Test year 2002: train=105,200  val=2,400  test=2,400
2026-04-08 00:30:37,311 | INFO | src.backtest.engine | Test year 2003: train=107,600  val=2,400  test=2,400
2026-04-08 00:30:47,881 | INFO | src.backtest.engine | Test year 2004: train=110,000  val=2,400  test=2,400
2026-04-08 00:30:58,857 | INFO | src.backtest.engine | Test year 2005: train=112,400  val=2,400  test=2,400
2026-04-08 00:31:10,787 | INFO | src.backtest.engine | Test year 2006: train=114,800  val=2,400  test=2,400
2026-04-08 00:31:20,780 | INFO | src.backtest.engine | Test year 2007: train=117,200  val=2,400  test=2,400
2026-04-08 00:31:32,577 | INFO | src.backtest.engine | Test year 2008: train=119,600  val=2,400  test=2,400
2026-04-08 00:31:44,585 | INFO | src.backtest.engine | Test year 2009: train=122,000  val=2,400  test=2,400
2026-04-08 00:31:56,804 | INFO | src.backtest.engine | Test year 2010: train=124,400  val=2,400  test=2,400
2026-04-08 00:32:09,554 | INFO | src.backtest.engine | Test year 2011: train=126,800  val=2,400  test=2,400
2026-04-08 00:32:23,417 | INFO | src.backtest.engine | Test year 2012: train=129,200  val=2,400  test=2,400
2026-04-08 00:32:36,917 | INFO | src.backtest.engine | Test year 2013: train=131,600  val=2,400  test=2,400
2026-04-08 00:32:51,450 | INFO | src.backtest.engine | Test year 2014: train=134,000  val=2,400  test=2,400
2026-04-08 00:33:03,999 | INFO | src.backtest.engine | Test year 2015: train=136,400  val=2,400  test=2,400
2026-04-08 00:33:16,765 | INFO | src.backtest.engine | Test year 2016: train=138,800  val=2,400  test=2,400
2026-04-08 00:35:10,391 | INFO | __main__ | === Step 5: Initialising models ===
2026-04-08 00:35:10,391 | INFO | __main__ | Models: ['OLS-3', 'ENet+H', 'PCR', 'PLS', 'GLM+H']
2026-04-08 00:35:10,391 | INFO | __main__ | === Step 6: Running recursive backtest ===
2026-04-08 00:35:10,703 | INFO | src.backtest.engine | Test year 1987: train=69,200  val=2,400  test=2,400
2026-04-08 00:35:18,781 | INFO | src.backtest.engine | Test year 1988: train=71,600  val=2,400  test=2,400
2026-04-08 00:35:26,495 | INFO | src.backtest.engine | Test year 1989: train=74,000  val=2,400  test=2,400
2026-04-08 00:35:35,679 | INFO | src.backtest.engine | Test year 1990: train=76,400  val=2,400  test=2,400
2026-04-08 00:35:44,434 | INFO | src.backtest.engine | Test year 1991: train=78,800  val=2,400  test=2,400
2026-04-08 00:35:52,402 | INFO | src.backtest.engine | Test year 1992: train=81,200  val=2,400  test=2,400
2026-04-08 00:36:01,005 | INFO | src.backtest.engine | Test year 1993: train=83,600  val=2,400  test=2,400
2026-04-08 00:36:09,149 | INFO | src.backtest.engine | Test year 1994: train=86,000  val=2,400  test=2,400
2026-04-08 00:36:17,916 | INFO | src.backtest.engine | Test year 1995: train=88,400  val=2,400  test=2,400
2026-04-08 00:36:26,825 | INFO | src.backtest.engine | Test year 1996: train=90,800  val=2,400  test=2,400
2026-04-08 00:36:36,524 | INFO | src.backtest.engine | Test year 1997: train=93,200  val=2,400  test=2,400
2026-04-08 00:36:46,022 | INFO | src.backtest.engine | Test year 1998: train=95,600  val=2,400  test=2,400
2026-04-08 00:36:58,408 | INFO | src.backtest.engine | Test year 1999: train=98,000  val=2,400  test=2,400
2026-04-08 00:37:06,536 | INFO | src.backtest.engine | Test year 2000: train=100,400  val=2,400  test=2,400
2026-04-08 00:37:17,252 | INFO | src.backtest.engine | Test year 2001: train=102,800  val=2,400  test=2,400
2026-04-08 00:37:28,834 | INFO | src.backtest.engine | Test year 2002: train=105,200  val=2,400  test=2,400
2026-04-08 00:37:38,895 | INFO | src.backtest.engine | Test year 2003: train=107,600  val=2,400  test=2,400
2026-04-08 00:37:48,966 | INFO | src.backtest.engine | Test year 2004: train=110,000  val=2,400  test=2,400
2026-04-08 00:38:06,394 | INFO | src.backtest.engine | Test year 2005: train=112,400  val=2,400  test=2,400
2026-04-08 00:38:34,632 | INFO | src.backtest.engine | Test year 2006: train=114,800  val=2,400  test=2,400
2026-04-08 00:38:56,424 | INFO | src.backtest.engine | Test year 2007: train=117,200  val=2,400  test=2,400
2026-04-08 00:39:15,431 | INFO | src.backtest.engine | Test year 2008: train=119,600  val=2,400  test=2,400
2026-04-08 00:39:40,537 | INFO | src.backtest.engine | Test year 2009: train=122,000  val=2,400  test=2,400
2026-04-08 00:39:52,433 | INFO | src.backtest.engine | Test year 2010: train=124,400  val=2,400  test=2,400
2026-04-08 00:40:03,857 | INFO | src.backtest.engine | Test year 2011: train=126,800  val=2,400  test=2,400
2026-04-08 00:40:17,347 | INFO | src.backtest.engine | Test year 2012: train=129,200  val=2,400  test=2,400
2026-04-08 00:40:30,954 | INFO | src.backtest.engine | Test year 2013: train=131,600  val=2,400  test=2,400
2026-04-08 00:40:43,899 | INFO | src.backtest.engine | Test year 2014: train=134,000  val=2,400  test=2,400
2026-04-08 00:40:56,832 | INFO | src.backtest.engine | Test year 2015: train=136,400  val=2,400  test=2,400
2026-04-08 00:41:09,482 | INFO | src.backtest.engine | Test year 2016: train=138,800  val=2,400  test=2,400
2026-04-08 00:41:45,939 | INFO | __main__ | Saved OLS-3 → outputs/models/OLS-3.pkl
2026-04-08 00:41:45,943 | INFO | __main__ | Saved ENet+H → outputs/models/ENet+H.pkl
2026-04-08 00:41:45,947 | INFO | __main__ | Saved PCR → outputs/models/PCR.pkl
2026-04-08 00:41:45,951 | INFO | __main__ | Saved PLS → outputs/models/PLS.pkl
2026-04-08 00:41:45,956 | INFO | __main__ | Saved GLM+H → outputs/models/GLM+H.pkl
2026-04-08 00:41:45,956 | INFO | __main__ | === Train stage complete. Results saved per-model. ===
